#,glass,cardboard,type5,crisps,batteries,cartons,type4,envelopes,aerosols,wipes,plasticbottle,toothpaste,cleaningbottles,petfood,tins,Score,Start Date (UTC),,Submit Date (UTC),Network ID
8wbezpv6o6xm8q88wbezp0n0lyz18tfj,Bottle bank,1,2,2,Battery bank,2,1,1,1,2,1,1,1,1,1,11,2020-07-23 06:43:21,2020-07-23 06:44:57,688edac149,
3r5cl6mh1jaqzbz57m3rpz61owle69z3,Bottle bank,1,1,2,Battery bank,1,1,1,1,2,1,2,1,2,1,15,2020-07-23 06:42:15,2020-07-23 06:44:04,48319bfe52,
1ews7fmzicyupqo3o1ews9xoqglgxkhp,Bottle bank,1,1,2,Battery bank,1,1,1,1,2,1,1,1,1,1,13,2020-07-23 06:38:43,2020-07-23 06:40:23,2fe8e64d8f,
swvemxao6z3k9kswve4ijqikyz9rdh0w,Bottle bank,1,1,2,Battery bank,1,1,1,1,2,1,1,1,2,1,14,2020-07-23 06:36:49,2020-07-23 06:39:14,29ecb59f2f,
2wu5ub124eyjpbcwu2wu5uxtfq21re00,Bottle bank,1,1,2,Battery bank,1,1,1,1,2,1,2,1,2,1,15,2020-07-23 06:36:45,2020-07-23 06:38:08,04ec96c151,
b7lsv5p0caj2thq5b7lsv1pdtksxj8n7,Bottle bank,1,1,2,Battery bank,1,1,1,1,2,1,1,1,1,1,13,2020-07-23 06:22:28,2020-07-23 06:24:16,a0347c6e69,
fhecvugeuqc10zrwj4m1yfhelsfhnm49,Bottle bank,1,1,2,Battery bank,2,2,1,1,2,1,2,1,2,1,13,2020-07-23 06:21:53,2020-07-23 06:24:04,c6ef8b27fa,
3wmng3ntgb1vmjnm3wmngk7eerpmdzhx,Bottle bank,1,1,2,Battery bank,1,1,2,1,2,1,1,1,2,1,13,2020-07-23 06:00:58,2020-07-23 06:03:50,5872f6c5c9,
82b31d62bnt6mh91787082b3xdfmjbwe,Bottle bank,1,1,2,Battery bank,1,1,1,1,2,1,2,1,2,1,15,2020-07-23 05:53:52,2020-07-23 05:55:45,a9e4cc9c90,
sa0wysom0i5e7ujvr664lsa0wys53h7h,2,1,1,2,Battery bank,1,1,1,1,2,1,2,1,1,1,13,2020-07-23 05:51:38,2020-07-23 05:54:25,f60e42ea18,
lhea06rq35md9jn7ngmlhea06reblw88,Bottle bank,1,1,2,Battery bank,1,1,1,2,2,1,1,1,1,1,12,2020-07-23 05:48:07,2020-07-23 05:50:00,f136f16c9b,
qqe2x6144km8niahq4qqe2x6fp4vw09b,Bottle bank,1,1,2,Battery bank,1,1,1,1,2,1,2,1,2,1,15,2020-07-23 05:39:15,2020-07-23 05:41:16,c78db6f36a,
7uaf2q7zfypgyp7kzfk47uaf2q7zzw2i,Bottle bank,1,1,2,Battery bank,1,1,1,1,2,1,2,1,1,1,14,2020-07-23 05:32:31,2020-07-23 05:34:05,c9853ceaba,
cia89ahoaxzhtjqpcia85kh75fkhq04h,Bottle bank,1,1,2,Battery bank,1,1,1,1,2,1,1,2,2,1,13,2020-07-23 05:25:41,2020-07-23 05:27:27,5c2cc19cbf,
bwwhvxxqyd1q16t1cxu5bwwhvxx60rz3,Bottle bank,1,2,2,Battery bank,2,2,1,1,2,1,2,1,2,1,12,2020-07-23 04:56:56,2020-07-23 04:58:55,320e046492,
nypxj7gcqeud906aausnypxj7xmshpb5,Bottle bank,1,1,2,Battery bank,1,1,1,2,2,1,1,2,2,1,12,2020-07-23 03:49:39,2020-07-23 03:52:02,2ba194e417,
qd5u5r9579t3kb6g4fn8mqd5u5r9eo45,2,1,1,1,Battery bank,1,2,1,1,1,1,1,1,1,1,9,2020-07-23 02:06:52,2020-07-23 02:09:43,d5ce03a9ca,
b25n1mual2f3yb2i3p4g8u1utg4ggot0,Bottle bank,1,2,1,Battery bank,1,1,1,2,1,1,2,2,1,2,8,2020-07-23 00:50:04,2020-07-23 00:52:15,f4afae47f0,
iypeqdy4wxqvfindcyisbiypeqthrrsf,Bottle bank,1,1,1,Battery bank,1,1,1,1,2,1,2,1,2,1,14,2020-07-23 00:06:48,2020-07-23 00:09:26,d3406516e7,
ip5wre34zil2rloeest1ip5wreksucpb,Bottle bank,1,1,2,Battery bank,1,1,1,1,2,1,2,1,2,1,15,2020-07-22 23:43:43,2020-07-22 23:46:01,c74fdc085c,
ipmyopatzmia27k3idlripmyopaygk6e,Bottle bank,1,1,2,Battery bank,1,1,1,1,2,1,1,1,2,1,14,2020-07-22 23:29:01,2020-07-22 23:31:40,121a59c083,
60qp9gbjn4zt9sqmha078ni760qp9gbj,Bottle bank,1,1,2,Battery bank,1,1,1,1,2,1,1,1,1,1,13,2020-07-22 22:58:55,2020-07-22 23:00:31,545e98ddbc,
dvc4jorouqyxv0dvc4ysmcdimmcn1lvl,Bottle bank,1,1,2,Battery bank,1,1,1,1,2,1,2,1,2,1,15,2020-07-22 22:35:53,2020-07-22 22:37:54,445dabe778,
mmr8n3hus0fm9cv2i4q39bimmr8n9nbs,Bottle bank,1,2,2,Battery bank,1,2,1,2,2,1,2,1,2,1,12,2020-07-22 22:31:49,2020-07-22 22:34:46,c6f7e13489,
fet7pz3zzlaraejfetrukoy05zdueu9e,1,1,1,2,Battery bank,1,1,1,1,2,1,2,1,2,1,14,2020-07-22 22:18:36,2020-07-22 22:20:57,eba9291720,
kvzjw0w0qzraxeh9kvzlst667ad48pwb,Bottle bank,1,1,2,Battery bank,2,1,1,2,2,1,2,2,2,1,12,2020-07-22 21:57:39,2020-07-22 22:00:30,d5ae8865ff,
gbddajmr1zp2aiz0orgbddaueolt2m2g,Bottle bank,1,1,2,Battery bank,1,1,1,1,2,1,2,1,2,1,15,2020-07-22 21:54:59,2020-07-22 21:56:55,2c22ef69d3,
ozac85hytb86wqtggoozac853le6z9ik,Bottle bank,1,1,2,Battery bank,1,2,1,1,1,1,2,1,2,1,13,2020-07-22 21:54:23,2020-07-22 21:55:29,37ccd1755e,
4uk93t8iwv4uncccsusm17x4cymhcj5i,Bottle bank,1,1,1,Battery bank,1,1,1,2,2,1,2,1,2,1,13,2020-07-22 21:48:04,2020-07-22 21:52:12,f769711ddf,
1udzjqqza5uqrcpfbh1udzjqque2hs1p,Bottle bank,1,1,1,Battery bank,1,1,1,1,2,1,1,1,2,1,13,2020-07-22 21:46:15,2020-07-22 21:48:22,636da3dc52,
323u3kjwcmonzs5av323u3kj9nwyj64r,Bottle bank,1,1,2,Battery bank,1,1,1,1,2,1,2,1,1,1,14,2020-07-22 21:42:42,2020-07-22 21:44:56,314ec48960,
6sssakvtkjnmu4coojcnr6ssp7aav5si,Bottle bank,1,1,2,Battery bank,1,2,1,2,2,1,2,1,2,1,13,2020-07-22 21:41:22,2020-07-22 21:43:18,d6d4a6eb23,
4zxel1wbz4isae5vrzfx4zxel1w807il,Bottle bank,1,1,2,Battery bank,1,1,1,1,2,1,2,1,2,1,15,2020-07-22 21:40:39,2020-07-22 21:42:19,c7d47f0b0f,
i48an62btsini40qvhcdq5rhrsm5kij0,Bottle bank,1,2,1,Battery bank,1,1,1,2,2,1,1,2,2,1,10,2020-07-22 21:35:24,2020-07-22 21:37:16,72acc62197,
mgn8kqo3fjk102btmgn8uo5djoeefxsn,Bottle bank,1,1,2,Battery bank,1,1,1,1,2,1,2,1,2,1,15,2020-07-22 21:29:50,2020-07-22 21:31:44,06c1338a24,
iys8zc881sm0tnqiysc09m0wckdei6od,Bottle bank,1,1,2,Battery bank,1,1,1,1,2,1,2,1,2,1,15,2020-07-22 21:24:57,2020-07-22 21:26:41,b7c37d58cd,
hafah0d07k8hotx0hafahkm2ao0fh8wv,Bottle bank,1,1,2,Battery bank,1,1,1,1,2,1,2,1,2,1,15,2020-07-22 21:23:16,2020-07-22 21:26:09,64c43c177c,
odaftpy7y9l85dghg0odaftpi059kael,Bottle bank,1,1,2,Battery bank,1,1,1,1,2,1,1,1,2,1,14,2020-07-22 21:20:09,2020-07-22 21:21:55,25676c837b,
vrqza6x29zmk2cmm7oryvrqzaaj78g1z,Bottle bank,1,1,2,Battery bank,1,1,1,1,2,1,1,1,2,1,14,2020-07-22 21:19:53,2020-07-22 21:21:40,d515203dc7,
m2913917c5qnbt17wrm2915rbk8rq21q,Bottle bank,1,1,2,Battery bank,1,2,1,1,2,1,1,1,2,1,13,2020-07-22 21:19:17,2020-07-22 21:21:29,a99510cb63,
nv0ajcc0nv06z6lunnv0aj0ownpzyias,Bottle bank,1,1,2,Battery bank,1,1,1,2,2,1,1,1,2,1,13,2020-07-22 21:16:31,2020-07-22 21:18:46,0811ba94df,
cm2jm9649e64rs9jmx82ocm2jmzblhwq,Bottle bank,1,1,2,Battery bank,1,1,1,1,2,1,1,1,2,1,14,2020-07-22 21:15:35,2020-07-22 21:17:27,c00d2c2a4b,
l2clq1hjquid4rs5vhl2clqjnrd1x0eh,Bottle bank,1,1,2,Battery bank,2,1,1,1,2,1,2,1,2,1,14,2020-07-22 21:12:23,2020-07-22 21:14:49,58bc178c61,
jnpd3lmugph56m3x85jnpd3l92myzo4l,Bottle bank,1,1,2,Battery bank,1,2,1,1,2,1,2,1,1,1,13,2020-07-22 21:12:29,2020-07-22 21:14:28,d01cc4e82a,
th2mnvzjq20xl9y34zsg2dth2mnvzemc,Bottle bank,1,1,2,Battery bank,1,1,1,1,2,1,2,1,1,1,14,2020-07-22 21:11:18,2020-07-22 21:13:38,465d8e56d4,
b34d4ctneal3bxk9fzb34d4ggdm0195r,Bottle bank,1,1,2,Battery bank,2,1,1,1,2,1,2,1,2,1,14,2020-07-22 21:01:56,2020-07-22 21:04:20,a485b9c3d9,
9e7u0l38mdug8wca9d9e7ujglkvy5pdy,Bottle bank,1,1,2,Battery bank,1,1,1,1,2,1,2,1,2,1,15,2020-07-22 20:58:50,2020-07-22 21:00:56,6ba0f31034,
yfswdfh6s5ez5yfi9486opc8yj3nmzht,Bottle bank,1,1,2,Battery bank,1,1,1,1,2,1,2,1,2,1,15,2020-07-22 20:58:56,2020-07-22 21:00:25,491b3ff47d,
db03wp3a80844li9utdb03wp3a896l3r,Bottle bank,1,1,2,Battery bank,1,2,1,1,2,1,1,1,2,1,13,2020-07-22 20:57:51,2020-07-22 21:00:14,7984d5422b,
7itecvh8u90bphg364m4aw7itecvh8ur,Bottle bank,1,1,2,Battery bank,1,1,1,1,2,1,1,1,2,1,14,2020-07-22 20:49:02,2020-07-22 20:51:48,27be0c038a,
nnb5n5iujg44twt1nnb52a39ds6jefe9,Bottle bank,1,,2,Battery bank,1,1,1,1,2,1,2,1,2,1,14,2020-07-22 20:48:17,2020-07-22 20:50:08,824d714978,
v7ozti51hkyp7847ziv7oztmxkdh8noz,Bottle bank,1,1,2,Battery bank,1,1,1,1,2,1,2,1,2,1,15,2020-07-22 20:48:20,2020-07-22 20:49:54,dd773bb397,
ec47xx8tlr81m0j96tec47xdz6coxmxy,Bottle bank,1,1,2,Battery bank,1,1,1,2,2,1,2,1,2,1,14,2020-07-22 20:42:49,2020-07-22 20:44:35,5a33c4d8fe,
bzny1ttzfo92q2pr5hljx9bzny1tt08q,Bottle bank,1,2,2,Battery bank,1,1,1,1,2,1,2,1,2,1,14,2020-07-22 20:39:53,2020-07-22 20:42:25,8be431dad0,
