#,glass,cardboard,type5,crisps,batteries,cartons,type4,envelopes,aerosols,wipes,plasticbottle,toothpaste,cleaningbottles,petfood,tins,Score,Start Date (UTC),,Submit Date (UTC),Network ID
wl4wxhenldhgfoju9jwl4wdflm3uacyx,Bottle bank,1,1,2,Battery bank,1,2,1,1,2,1,1,2,2,1,12,2020-06-04 18:52:06,,2020-06-04 18:54:54,9c1fbc6b67
p5w68fd5v9axns24boj68kp5w68fdisd,Bottle bank,1,1,1,Battery bank,2,1,1,2,1,1,1,1,2,1,10,2020-06-04 18:52:05,,2020-06-04 18:54:06,6cbf2290e4
p1tnhoixd43tvp1tnhoa34nga2hwyqo6,Bottle bank,1,2,2,Battery bank,2,2,1,1,2,1,1,1,2,1,11,2020-06-04 18:51:06,,2020-06-04 18:53:48,99d47e7cd0
0429kxamrrscwva5yq04296xlbqr5w59,Bottle bank,1,1,1,Battery bank,1,1,1,1,1,1,2,1,2,1,13,2020-06-04 18:51:48,,2020-06-04 18:53:38,7d85640d8e
h71uhli6csrry2snh71399tpfc5a7nbi,Bottle bank,1,1,2,Battery bank,1,1,1,1,2,1,2,1,2,1,15,2020-06-04 18:49:13,,2020-06-04 18:51:33,796a402c6c
dt5s4zsow49gpatt56dee7dt5s4d71t9,Bottle bank,1,1,2,Battery bank,1,1,1,1,2,1,2,1,1,2,13,2020-06-04 18:49:37,,2020-06-04 18:50:57,ea213cfe3f
gmqqfd6eahzft4mu9nx0wzgmqqfdlcm9,Bottle bank,1,1,2,Battery bank,1,1,1,1,2,1,2,1,2,1,15,2020-06-04 18:49:35,,2020-06-04 18:50:41,c5da6c22c8
onwel4s9hxnhcg2lk4onweac9ze385kd,Bottle bank,1,1,2,Battery bank,1,2,1,1,2,1,1,1,2,1,13,2020-06-04 18:48:34,,2020-06-04 18:50:25,b07479c4d4
4cizz5yndp13d3qmux64cizz5yo29v3d,Bottle bank,1,1,2,Battery bank,1,2,1,1,2,1,2,1,2,1,14,2020-06-04 18:47:53,,2020-06-04 18:50:16,25b5ca72f6
zrjgxc2ywwkpy1zrja8517yx1hv3x4z0,Bottle bank,1,1,1,Battery bank,1,2,1,1,2,1,1,1,2,1,12,2020-06-04 18:46:39,,2020-06-04 18:48:51,b1fe6da8bf
nbs8a89io381i9nbs9xfcs482ywjg44y,Bottle bank,1,1,2,Battery bank,1,1,1,1,2,1,1,1,2,1,14,2020-06-04 18:47:02,,2020-06-04 18:48:40,3941171ccb
e1z84r8zec0psj3n801lae1z84mg7s2e,Bottle bank,1,2,2,Battery bank,1,2,1,1,2,1,2,1,2,1,13,2020-06-04 18:44:33,,2020-06-04 18:47:43,dfc3a88833
dph0zelzhcp6uftt5dph0s34ib81l14h,Bottle bank,1,2,2,Battery bank,1,1,1,2,2,1,2,1,2,1,13,2020-06-04 18:45:24,,2020-06-04 18:47:33,c31ace3c98
l6bxscq2djgygixl6bxs7i9pq26xe6ea,Bottle bank,1,1,2,Battery bank,1,2,1,1,2,1,1,1,1,1,12,2020-06-04 18:44:28,,2020-06-04 18:47:06,d630113ff3
pzwil6883qjh6pkuwr9md89pzwil688h,Bottle bank,1,1,2,Battery bank,1,2,1,1,2,1,2,1,1,1,13,2020-06-04 18:44:28,,2020-06-04 18:46:41,6193223fc9
a1zf8uglurafutt95udrma1zf8uud2is,Bottle bank,1,1,1,Battery bank,2,1,1,1,2,1,2,1,2,1,13,2020-06-04 18:44:33,,2020-06-04 18:46:41,40ead0bdb4
2yp8d1fiw3txytxs34zxq2yp8d1fzfse,Bottle bank,1,1,2,Battery bank,1,1,1,1,2,1,2,1,2,1,15,2020-06-04 18:45:02,,2020-06-04 18:46:27,1826fe39e1
tucigt8g4xsv6i5tuciudmmv1xuj73e4,Bottle bank,,,,,,2,1,1,,1,2,1,2,,7,2020-06-04 18:42:47,,2020-06-04 18:46:26,b60e239e4a
gxagjynr75wm48bo4gxagjinxt7i7dmm,Bottle bank,1,1,2,Battery bank,1,1,1,1,2,1,1,1,2,1,14,2020-06-04 18:43:41,,2020-06-04 18:46:05,2a7bf87587
yjr5tyli7rpt4b3yjr5mcuhqyz7vg35l,Bottle bank,1,1,1,Battery bank,2,1,1,2,2,1,2,1,2,1,12,2020-06-04 18:42:39,,2020-06-04 18:45:06,4933a91368
ygc5hp128amrltoygc5hpxqewu0hay9t,Bottle bank,1,2,2,Battery bank,2,2,1,2,2,1,2,2,2,1,10,2020-06-04 18:42:20,,2020-06-04 18:44:41,665ee0b0f3
nhbfvy2j2zve6lkwnkua4xnhbfvy2j7a,Bottle bank,1,1,2,Battery bank,1,1,1,1,2,1,2,1,2,1,15,2020-06-04 18:42:13,,2020-06-04 18:44:25,6c5537ee62
